index,mot,phoneme
0_11_18,0kɔl,ɔ
0_11_18,dɛ,ɛ
0_11_18,dɛ,d
0_11_18,kyb,k
0_11_18,kyb,y
0_11_18,kyb,b
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,puʁ,p
0_11_18,puʁ,u
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,akɔ,a
0_11_18,akɔ,k
0_11_18,akɔ,ɔ
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,mwa,a
0_11_18,mwa,m
0_11_18,mwa,w
0_11_18,lɛ,l
0_11_18,lɛ,ɛ
0_11_18,kub,k
0_11_18,kub,u
0_11_18,kub,b
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,la,a
0_11_18,la,l
0_11_18,sysɛt,s
0_11_18,sysɛt,s
0_11_18,sysɛt,ɛ
0_11_18,sysɛt,t
0_11_18,sysɛt,y
0_11_18,d,d
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,ɛ,ɛ
0_11_18,ma,a
0_11_18,ma,m
0_11_18,sysɛt,s
0_11_18,sysɛt,s
0_11_18,sysɛt,ɛ
0_11_18,sysɛt,t
0_11_18,sysɛt,y
0_11_18,ju,u
0_11_18,ju,j
0_11_18,l,l
0_11_18,ɛ,ɛ
0_11_18,lə,l
0_11_18,lə,ə
0_11_18,sysɛt,s
0_11_18,sysɛt,s
0_11_18,sysɛt,ɛ
0_11_18,sysɛt,t
0_11_18,sysɛt,y
0_11_18,lə,l
0_11_18,lə,ə
0_11_18,dudu,d
0_11_18,dudu,d
0_11_18,dudu,u
0_11_18,dudu,u
0_11_18,də,ə
0_11_18,də,d
0_11_18,zyli,l
0_11_18,zyli,i
0_11_18,zyli,y
0_11_18,zyli,z
0_11_18,aa,a
0_11_18,aa,a
0_11_18,sysɛt,s
0_11_18,sysɛt,s
0_11_18,sysɛt,ɛ
0_11_18,sysɛt,t
0_11_18,sysɛt,y
0_11_18,lə,l
0_11_18,lə,ə
0_11_18,dudu,d
0_11_18,dudu,d
0_11_18,dudu,u
0_11_18,dudu,u
0_11_18,də,ə
0_11_18,də,d
0_11_18,zyli,l
0_11_18,zyli,i
0_11_18,zyli,y
0_11_18,zyli,z
0_11_18,wi,i
0_11_18,wi,w
0_11_18,a,a
0_11_18,pusɛt,s
0_11_18,pusɛt,ɛ
0_11_18,pusɛt,t
0_11_18,pusɛt,p
0_11_18,pusɛt,u
0_11_18,ə,ə
0_11_18,n1,n
0_11_18,n1,1
0_11_18,n1,n
0_11_18,n1,1
0_11_18,a,a
0_11_18,pa,a
0_11_18,pa,p
0_11_18,la,a
0_11_18,la,l
0_11_18,sysɛt,s
0_11_18,sysɛt,s
0_11_18,sysɛt,ɛ
0_11_18,sysɛt,t
0_11_18,sysɛt,y
0_11_18,ɛ,ɛ
0_11_18,va,a
0_11_18,va,v
0_11_18,pa,a
0_11_18,pa,p
0_11_18,pʁ0d,p
0_11_18,pʁ0d,d
0_11_18,pʁ0d,0
0_11_18,la,a
0_11_18,la,l
0_11_18,sysɛt,s
0_11_18,sysɛt,s
0_11_18,sysɛt,ɛ
0_11_18,sysɛt,t
0_11_18,sysɛt,y
0_11_18,d,d
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,m1,m
0_11_18,m1,1
0_11_18,kyb,k
0_11_18,kyb,y
0_11_18,kyb,b
0_11_18,tɛ,ɛ
0_11_18,tɛ,t
0_11_18,m1,m
0_11_18,m1,1
0_11_18,kub,k
0_11_18,kub,u
0_11_18,kub,b
0_11_18,ka,a
0_11_18,ka,k
0_11_18,ə,ə
0_11_18,kub,k
0_11_18,kub,u
0_11_18,kub,b
0_11_18,d,d
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,vamɛm,a
0_11_18,vamɛm,ɛ
0_11_18,vamɛm,m
0_11_18,vamɛm,m
0_11_18,vamɛm,v
0_11_18,ta,a
0_11_18,ta,t
0_11_18,ka,a
0_11_18,ka,k
0_11_18,1,1
0_11_18,va,a
0_11_18,va,v
0_11_18,1,1
0_11_18,va,a
0_11_18,va,v
0_11_18,pa,a
0_11_18,pa,p
0_11_18,t1be,e
0_11_18,t1be,t
0_11_18,t1be,1
0_11_18,t1be,b
0_11_18,mɛt,ɛ
0_11_18,mɛt,t
0_11_18,mɛt,m
0_11_18,3̃,3
0_11_18,gʁɔ,ɔ
0_11_18,gʁɔ,g
0_11_18,kub,k
0_11_18,kub,u
0_11_18,kub,b
0_11_18,ɔ,ɔ
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,tuzu,t
0_11_18,tuzu,u
0_11_18,tuzu,u
0_11_18,tuzu,z
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,tuzu,t
0_11_18,tuzu,u
0_11_18,tuzu,u
0_11_18,tuzu,z
0_11_18,pa,a
0_11_18,pa,p
0_11_18,pʁ0t,t
0_11_18,pʁ0t,p
0_11_18,pʁ0t,0
0_11_18,lə,l
0_11_18,lə,ə
0_11_18,kub,k
0_11_18,kub,u
0_11_18,kub,b
0_11_18,d,d
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,kɔm,k
0_11_18,kɔm,m
0_11_18,kɔm,ɔ
0_11_18,sa,a
0_11_18,sa,s
0_11_18,la,a
0_11_18,la,l
0_11_18,a,a
0_11_18,di,i
0_11_18,di,d
0_11_18,a,a
0_11_18,mam0,a
0_11_18,mam0,m
0_11_18,mam0,m
0_11_18,mam0,0
0_11_18,nə,ə
0_11_18,nə,n
0_11_18,va,a
0_11_18,va,v
0_11_18,pa,a
0_11_18,pa,p
0_11_18,t1be,e
0_11_18,t1be,t
0_11_18,t1be,1
0_11_18,t1be,b
0_11_18,mɛt,ɛ
0_11_18,mɛt,t
0_11_18,mɛt,m
0_11_18,e,e
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,pa,a
0_11_18,pa,p
0_11_18,t1be,e
0_11_18,t1be,t
0_11_18,t1be,1
0_11_18,t1be,b
0_11_18,a,a
0_11_18,aː,a
0_11_18,ɛsɛ,s
0_11_18,ɛsɛ,ɛ
0_11_18,ɛsɛ,ɛ
0_11_18,1,1
0_11_18,va,a
0_11_18,va,v
0_11_18,pa,a
0_11_18,pa,p
0_11_18,t11be,e
0_11_18,t11be,t
0_11_18,t11be,1
0_11_18,t11be,1
0_11_18,t11be,b
0_11_18,a,a
0_11_18,a,a
0_11_18,ɛs,s
0_11_18,ɛs,ɛ
0_11_18,mɛt,ɛ
0_11_18,mɛt,t
0_11_18,mɛt,m
0_11_18,dəbu,ə
0_11_18,dəbu,d
0_11_18,dəbu,u
0_11_18,dəbu,b
0_11_18,va,a
0_11_18,va,v
0_11_18,pa,a
0_11_18,pa,p
0_11_18,t1be,e
0_11_18,t1be,t
0_11_18,t1be,1
0_11_18,t1be,b
0_11_18,sɛ,s
0_11_18,sɛ,ɛ
0_11_18,pa,a
0_11_18,pa,p
0_11_18,ka,a
0_11_18,ka,k
0_11_18,t2,t
0_11_18,t2,2
0_11_18,aa,a
0_11_18,aa,a
0_11_18,ɛl,l
0_11_18,ɛl,ɛ
0_11_18,va,a
0_11_18,va,v
0_11_18,pa,a
0_11_18,pa,p
0_11_18,t1be,e
0_11_18,t1be,t
0_11_18,t1be,1
0_11_18,t1be,b
0_11_18,m22,m
0_11_18,m22,2
0_11_18,m22,2
0_11_18,ɛ,ɛ
0_11_18,va,a
0_11_18,va,v
0_11_18,pa,a
0_11_18,pa,p
0_11_18,t1be,e
0_11_18,t1be,t
0_11_18,t1be,1
0_11_18,t1be,b
0_11_18,ə,ə
0_11_18,ee,e
0_11_18,ee,e
0_11_18,hahaha,a
0_11_18,hahaha,a
0_11_18,hahaha,a
0_11_18,ka,a
0_11_18,ka,k
0_11_18,mɛt,ɛ
0_11_18,mɛt,t
0_11_18,mɛt,m
0_11_18,lɛ,l
0_11_18,lɛ,ɛ
0_11_18,pəti,i
0_11_18,pəti,ə
0_11_18,pəti,t
0_11_18,pəti,p
0_11_18,mɛt,ɛ
0_11_18,mɛt,t
0_11_18,mɛt,m
0_11_18,lɛ,l
0_11_18,lɛ,ɛ
0_11_18,pəti,i
0_11_18,pəti,ə
0_11_18,pəti,t
0_11_18,pəti,p
0_11_18,ɛ,ɛ
0_11_18,va,a
0_11_18,va,v
0_11_18,pa,a
0_11_18,pa,p
0_11_18,t1be,e
0_11_18,t1be,t
0_11_18,t1be,1
0_11_18,t1be,b
0_11_18,ɔtsy,s
0_11_18,ɔtsy,t
0_11_18,ɔtsy,y
0_11_18,ɔtsy,ɔ
0_11_18,sɛje,e
0_11_18,sɛje,s
0_11_18,sɛje,ɛ
0_11_18,sɛje,j
0_11_18,tɔne,e
0_11_18,tɔne,t
0_11_18,tɔne,n
0_11_18,tɔne,ɔ
0_11_18,lə,l
0_11_18,lə,ə
0_11_18,kub,k
0_11_18,kub,u
0_11_18,kub,b
0_11_18,ɛs,s
0_11_18,ɛs,ɛ
0_11_18,ɛsɛje,e
0_11_18,ɛsɛje,s
0_11_18,ɛsɛje,ɛ
0_11_18,ɛsɛje,ɛ
0_11_18,ɛsɛje,j
0_11_18,mɛt,ɛ
0_11_18,mɛt,t
0_11_18,mɛt,m
0_11_18,lə,l
0_11_18,lə,ə
0_11_18,pəti,i
0_11_18,pəti,ə
0_11_18,pəti,t
0_11_18,pəti,p
0_11_18,ka,a
0_11_18,ka,k
0_11_18,a,a
0_11_18,aaa,a
0_11_18,aaa,a
0_11_18,aaa,a
0_11_18,aa,a
0_11_18,aa,a
0_11_18,a,a
0_11_18,t2a,a
0_11_18,t2a,t
0_11_18,t2a,2
0_11_18,sa,a
0_11_18,sa,s
0_11_18,zu,u
0_11_18,zu,z
0_11_18,avɛk,a
0_11_18,avɛk,ɛ
0_11_18,avɛk,k
0_11_18,avɛk,v
0_11_18,lɛ,l
0_11_18,lɛ,ɛ
0_11_18,kub,k
0_11_18,kub,u
0_11_18,kub,b
0_11_18,avɛk,a
0_11_18,avɛk,ɛ
0_11_18,avɛk,k
0_11_18,avɛk,v
0_11_18,papa,a
0_11_18,papa,a
0_11_18,papa,p
0_11_18,papa,p
0_11_18,avaje,a
0_11_18,avaje,a
0_11_18,avaje,e
0_11_18,avaje,v
0_11_18,avaje,j
0_11_18,a,a
0_11_18,ə,ə
0_11_18,ylis,l
0_11_18,ylis,s
0_11_18,ylis,i
0_11_18,ylis,y
0_11_18,vwa,a
0_11_18,vwa,v
0_11_18,vwa,w
0_11_18,vwa,a
0_11_18,vwa,v
0_11_18,vwa,w
0_11_18,zyli,l
0_11_18,zyli,i
0_11_18,zyli,y
0_11_18,zyli,z
