index,mot,phoneme
1_00_05,ʁsatsetsetse,s
1_00_05,ʁsatsetsetse,t
1_00_05,ʁsatsetsetse,t
1_00_05,ʁsatsetsetse,t
1_00_05,kwatata,a
1_00_05,kwatata,a
1_00_05,kwatata,a
1_00_05,kwatata,t
1_00_05,kwatata,t
1_00_05,kwatata,k
1_00_05,kwatata,w
1_00_05,gla,a
1_00_05,gla,l
1_00_05,gla,g
1_00_05,kala,a
1_00_05,kala,a
1_00_05,kala,l
1_00_05,kala,k
1_00_05,ala,a
1_00_05,ala,a
1_00_05,ala,l
1_00_05,abaga,a
1_00_05,abaga,a
1_00_05,abaga,a
1_00_05,abaga,b
1_00_05,abaga,g
1_00_05,malaja,a
1_00_05,malaja,a
1_00_05,malaja,a
1_00_05,malaja,l
1_00_05,malaja,m
1_00_05,malaja,j
1_00_05,aː,a
1_00_05,aja,a
1_00_05,aja,a
1_00_05,aja,j
1_00_05,gagaga,a
1_00_05,gagaga,a
1_00_05,gagaga,a
1_00_05,gagaga,g
1_00_05,gagaga,g
1_00_05,gagaga,g
1_00_05,ɥaja,a
1_00_05,ɥaja,a
1_00_05,ɥaja,j
1_00_05,ɥaja,ɥ
1_00_05,dedada,a
1_00_05,dedada,a
1_00_05,dedada,e
1_00_05,dedada,d
1_00_05,dedada,d
1_00_05,dedada,d
1_00_05,gledada,a
1_00_05,gledada,a
1_00_05,gledada,l
1_00_05,gledada,e
1_00_05,gledada,d
1_00_05,gledada,d
1_00_05,gledada,g
1_00_05,dala,a
1_00_05,dala,a
1_00_05,dala,l
1_00_05,dala,d
1_00_05,adala,a
1_00_05,adala,a
1_00_05,adala,a
1_00_05,adala,l
1_00_05,adala,d
1_00_05,dalalalalala,a
1_00_05,dalalalalala,a
1_00_05,dalalalalala,a
1_00_05,dalalalalala,a
1_00_05,dalalalalala,a
1_00_05,dalalalalala,a
1_00_05,dalalalalala,l
1_00_05,dalalalalala,l
1_00_05,dalalalalala,l
1_00_05,dalalalalala,l
1_00_05,dalalalalala,l
1_00_05,dalalalalala,d
1_00_05,alala,a
1_00_05,alala,a
1_00_05,alala,a
1_00_05,alala,l
1_00_05,alala,l
1_00_05,mœ,m
1_00_05,mœ,œ
1_00_05,aga,a
1_00_05,aga,a
1_00_05,aga,g
1_00_05,ala,a
1_00_05,ala,a
1_00_05,ala,l
1_00_05,la,a
1_00_05,la,l
1_00_05,dalødøla,a
1_00_05,dalødøla,a
1_00_05,dalødøla,l
1_00_05,dalødøla,l
1_00_05,dalødøla,d
1_00_05,dalødøla,d
1_00_05,dalødøla,ø
1_00_05,dalødøla,ø
1_00_05,ba,a
1_00_05,ba,b
1_00_05,møgœgɛ,ɛ
1_00_05,møgœgɛ,m
1_00_05,møgœgɛ,ø
1_00_05,møgœgɛ,œ
1_00_05,møgœgɛ,g
1_00_05,møgœgɛ,g
1_00_05,aøː,a
1_00_05,aøː,ø
1_00_05,a,a
1_00_05,mː,m
1_00_05,œga,a
1_00_05,œga,œ
1_00_05,œga,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,ega,a
1_00_05,ega,e
1_00_05,ega,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,sa,a
1_00_05,sa,s
1_00_05,ka,a
1_00_05,ka,k
1_00_05,gœga,a
1_00_05,gœga,œ
1_00_05,gœga,g
1_00_05,gœga,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,gaga,a
1_00_05,gaga,a
1_00_05,gaga,g
1_00_05,gaga,g
1_00_05,gagaga,a
1_00_05,gagaga,a
1_00_05,gagaga,a
1_00_05,gagaga,g
1_00_05,gagaga,g
1_00_05,gagaga,g
1_00_05,ga,a
1_00_05,ga,g
1_00_05,mœmœmœmœ,m
1_00_05,mœmœmœmœ,m
1_00_05,mœmœmœmœ,m
1_00_05,mœmœmœmœ,m
1_00_05,mœmœmœmœ,œ
1_00_05,mœmœmœmœ,œ
1_00_05,mœmœmœmœ,œ
1_00_05,mœmœmœmœ,œ
1_00_05,ala,a
1_00_05,ala,a
1_00_05,ala,l
1_00_05,adla,a
1_00_05,adla,a
1_00_05,adla,l
1_00_05,adla,d
1_00_05,a,a
1_00_05,la,a
1_00_05,la,l
1_00_05,la,a
1_00_05,la,l
1_00_05,la,a
1_00_05,la,l
1_00_05,ga,a
1_00_05,ga,g
1_00_05,la,a
1_00_05,la,l
1_00_05,gala,a
1_00_05,gala,a
1_00_05,gala,l
1_00_05,gala,g
1_00_05,galase,a
1_00_05,galase,a
1_00_05,galase,l
1_00_05,galase,e
1_00_05,galase,s
1_00_05,galase,g
1_00_05,gela,a
1_00_05,gela,l
1_00_05,gela,e
1_00_05,gela,g
1_00_05,ha,a
1_00_05,ha,a
1_00_05,aja,a
1_00_05,aja,a
1_00_05,aja,j
1_00_05,2,2
1_00_05,sœsa,a
1_00_05,sœsa,s
1_00_05,sœsa,s
1_00_05,sœsa,œ
1_00_05,a,a
1_00_05,ga,a
1_00_05,ga,g
1_00_05,ega,a
1_00_05,ega,e
1_00_05,ega,g
1_00_05,je,e
1_00_05,je,j
1_00_05,ja,a
1_00_05,ja,j
1_00_05,aː,a
1_00_05,ga,a
1_00_05,ga,g
1_00_05,œga,a
1_00_05,œga,œ
1_00_05,œga,g
1_00_05,gega,a
1_00_05,gega,e
1_00_05,gega,g
1_00_05,gega,g
1_00_05,aː,a
1_00_05,œː,œ
1_00_05,a,a
1_00_05,a,a
1_00_05,a,a
1_00_05,a,a
1_00_05,a,a
1_00_05,a,a
1_00_05,kakaka,a
1_00_05,kakaka,a
1_00_05,kakaka,a
1_00_05,kakaka,k
1_00_05,kakaka,k
1_00_05,kakaka,k
1_00_05,kak2,a
1_00_05,kak2,k
1_00_05,kak2,k
1_00_05,kak2,2
1_00_05,i,i
1_00_05,m,m
1_00_05,m,m
1_00_05,wi,i
1_00_05,wi,w
1_00_05,kata,a
1_00_05,kata,a
1_00_05,kata,t
1_00_05,kata,k
1_00_05,ɛge,e
1_00_05,ɛge,ɛ
1_00_05,ɛge,g
1_00_05,kakakakakaka,a
1_00_05,kakakakakaka,a
1_00_05,kakakakakaka,a
1_00_05,kakakakakaka,a
1_00_05,kakakakakaka,a
1_00_05,kakakakakaka,a
1_00_05,kakakakakaka,k
1_00_05,kakakakakaka,k
1_00_05,kakakakakaka,k
1_00_05,kakakakakaka,k
1_00_05,kakakakakaka,k
1_00_05,kakakakakaka,k
1_00_05,ba,a
1_00_05,ba,b
1_00_05,ba,a
1_00_05,ba,b
1_00_05,ba,a
1_00_05,ba,b
1_00_05,gejaja,a
1_00_05,gejaja,a
1_00_05,gejaja,e
1_00_05,gejaja,j
1_00_05,gejaja,j
1_00_05,gejaja,g
1_00_05,agagagagaga,a
1_00_05,agagagagaga,a
1_00_05,agagagagaga,a
1_00_05,agagagagaga,a
1_00_05,agagagagaga,a
1_00_05,agagagagaga,a
1_00_05,agagagagaga,g
1_00_05,agagagagaga,g
1_00_05,agagagagaga,g
1_00_05,agagagagaga,g
1_00_05,agagagagaga,g
1_00_05,pikaka,a
1_00_05,pikaka,a
1_00_05,pikaka,i
