index,mot,phoneme
1_01_14,œlapaːu,œ
1_01_14,eaœːœː,a
1_01_14,eaœːœː,e
1_01_14,eaœːœː,œ
1_01_14,eaœːœː,œ
1_01_14,aː,a
1_01_14,ɛː,ɛ
1_01_14,aː,a
1_01_14,a,a
1_01_14,aː,a
1_01_14,mː,m
1_01_14,vɛ,ɛ
1_01_14,vɛ,v
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,aː,a
1_01_14,a,a
1_01_14,aː,a
1_01_14,a,a
1_01_14,aː,a
1_01_14,aː,a
1_01_14,ɛ,ɛ
1_01_14,øː,ø
1_01_14,ajɛː,a
1_01_14,ajɛː,ɛ
1_01_14,ajɛː,j
1_01_14,ɔː,ɔ
1_01_14,aː,a
1_01_14,jœ,j
1_01_14,jœ,œ
1_01_14,a,a
1_01_14,ɛː,ɛ
1_01_14,œː,œ
1_01_14,a,a
1_01_14,a,a
1_01_14,œ,œ
1_01_14,a,a
1_01_14,aː,a
1_01_14,aː,a
1_01_14,jɛː,ɛ
1_01_14,jɛː,j
1_01_14,aː,a
1_01_14,aː,a
1_01_14,jagœ,a
1_01_14,jagœ,j
1_01_14,jagœ,œ
1_01_14,jagœ,g
1_01_14,aː,a
1_01_14,ɛː,ɛ
1_01_14,mː,m
1_01_14,œːaː,a
1_01_14,œːaː,œ
1_01_14,œːaː,a
1_01_14,œːaː,œ
1_01_14,a,a
1_01_14,a,a
1_01_14,œː,œ
1_01_14,oœː,o
1_01_14,oœː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œ,œ
1_01_14,œ,œ
1_01_14,ɛː,ɛ
1_01_14,oː,o
1_01_14,ɛː,ɛ
1_01_14,aː,a
1_01_14,a,a
1_01_14,aː,a
1_01_14,2ː,2
1_01_14,a,a
1_01_14,œː,œ
1_01_14,aː,a
1_01_14,m,m
1_01_14,mː,m
1_01_14,ɛː,ɛ
1_01_14,mː,m
1_01_14,aː,a
1_01_14,œa,a
1_01_14,œa,œ
1_01_14,ɛː,ɛ
1_01_14,oːnaa,a
1_01_14,oːnaa,a
1_01_14,oːnaa,n
1_01_14,oːnaa,o
1_01_14,m,m
1_01_14,ɛː,ɛ
1_01_14,mː,m
1_01_14,jaː,a
1_01_14,jaː,j
1_01_14,eː,e
1_01_14,œːiː,i
1_01_14,œːiː,œ
1_01_14,mː,m
1_01_14,mː,m
1_01_14,m,m
1_01_14,mː,m
1_01_14,aː,a
1_01_14,aː,a
1_01_14,mː,m
1_01_14,œː,œ
1_01_14,aː,a
1_01_14,iː,i
1_01_14,mː,m
1_01_14,gɔgɔgɔ,ɔ
1_01_14,gɔgɔgɔ,ɔ
