index,mot,phoneme
1_04_20,mnammnammnammnja,n
1_04_20,mnammnammnammnja,n
1_04_20,mnammnammnammnja,n
1_04_20,mnammnammnammnja,j
1_04_20,psika,a
1_04_20,psika,s
1_04_20,psika,i
1_04_20,psika,k
1_04_20,psika,p
1_04_20,təpatapate,a
1_04_20,təpatapate,a
1_04_20,təpatapate,a
1_04_20,təpatapate,e
1_04_20,təpatapate,ə
1_04_20,təpatapate,t
1_04_20,təpatapate,t
1_04_20,təpatapate,t
1_04_20,təpatapate,p
1_04_20,təpatapate,p
1_04_20,take,a
1_04_20,take,e
1_04_20,take,t
1_04_20,take,k
1_04_20,ooo,o
1_04_20,ooo,o
1_04_20,ooo,o
1_04_20,aaa,a
1_04_20,aaa,a
1_04_20,aaa,a
1_04_20,debe,e
1_04_20,debe,e
1_04_20,debe,d
1_04_20,debe,b
1_04_20,ebe,e
1_04_20,ebe,e
1_04_20,ebe,b
1_04_20,debe,e
1_04_20,debe,e
1_04_20,debe,d
1_04_20,debe,b
1_04_20,debe,e
1_04_20,debe,e
1_04_20,debe,d
1_04_20,debe,b
1_04_20,e,e
1_04_20,bebe,e
1_04_20,bebe,e
1_04_20,bebe,b
1_04_20,bebe,b
1_04_20,n1,n
1_04_20,n1,1
1_04_20,tjakɛkaa,a
1_04_20,tjakɛkaa,a
1_04_20,tjakɛkaa,a
1_04_20,tjakɛkaa,ɛ
1_04_20,tjakɛkaa,t
1_04_20,tjakɛkaa,k
1_04_20,tjakɛkaa,k
1_04_20,tjakɛkaa,j
1_04_20,papepapa,a
1_04_20,papepapa,a
1_04_20,papepapa,a
1_04_20,papepapa,e
1_04_20,papepapa,p
1_04_20,papepapa,p
1_04_20,papepapa,p
1_04_20,papepapa,p
1_04_20,kɔkɔkɔkɔ,k
1_04_20,kɔkɔkɔkɔ,k
1_04_20,kɔkɔkɔkɔ,k
1_04_20,kɔkɔkɔkɔ,k
1_04_20,kɔkɔkɔkɔ,ɔ
1_04_20,kɔkɔkɔkɔ,ɔ
1_04_20,kɔkɔkɔkɔ,ɔ
1_04_20,kɔkɔkɔkɔ,ɔ
1_04_20,ebat,a
1_04_20,ebat,e
1_04_20,ebat,t
1_04_20,ebat,b
1_04_20,akɔpɛ,a
1_04_20,akɔpɛ,ɛ
1_04_20,akɔpɛ,k
1_04_20,akɔpɛ,p
1_04_20,akɔpɛ,ɔ
1_04_20,akɔpɛʁ,a
1_04_20,akɔpɛʁ,ɛ
1_04_20,akɔpɛʁ,k
1_04_20,akɔpɛʁ,p
1_04_20,akɔpɛʁ,ɔ
1_04_20,taptaptaptaptappapa,a
1_04_20,taptaptaptaptappapa,a
1_04_20,taptaptaptaptappapa,a
1_04_20,taptaptaptaptappapa,a
1_04_20,taptaptaptaptappapa,a
1_04_20,taptaptaptaptappapa,a
1_04_20,taptaptaptaptappapa,a
1_04_20,taptaptaptaptappapa,t
1_04_20,taptaptaptaptappapa,t
1_04_20,taptaptaptaptappapa,t
